Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height
458282.049,4703661.057,3130.366,gl3_1,74.4924017,42.48417816,3130.366
458284.277,4703658.192,3126.086,gl3_2,74.49242902,42.48415247,3126.086
458288.707,4703654.737,3125.666,gl3_3,74.49248317,42.4841216,3125.666
458291.706,4703651.341,3126.592,gl3_4,74.49251991,42.48409117,3126.592
458294.797,4703647.664,3127.133,gl3_5,74.49255778,42.48405823,3127.133
458298.07,4703644.047,3129.4,gl3_6,74.49259787,42.48402583,3129.4
458301.485,4703640.134,3128.021,gl3_7,74.4926397,42.48399078,3128.021
458304.754,4703636.632,3127.119,gl3_8,74.49267974,42.48395941,3127.119
458307.996,4703632.631,3127.219,gl3_9,74.49271947,42.48392356,3127.219
458311.048,4703628.774,3127.09,gl3_10,74.49275688,42.48388899,3127.09
458314.482,4703624.208,3126.804,gl3_11,74.492799,42.48384805,3126.804
458317.397,4703620.225,3127.49,gl3_12,74.49283475,42.48381234,3127.49
458320.861,4703616.621,3126.656,gl3_13,74.49287716,42.48378007,3126.656
458324.428,4703612.677,3124.878,gl3_14,74.49292085,42.48374475,3124.878
458327.866,4703609.195,3124.356,gl3_15,74.49296293,42.48371357,3124.356
458329.467,4703605.459,3126.135,gl3_16,74.49298268,42.48368002,3126.135
458332.493,4703601.402,3127.05,gl3_17,74.4930198,42.48364365,3127.05
458335.436,4703596.899,3128.491,gl3_18,74.49305592,42.48360325,3128.491
458338.456,4703592.645,3128.02,gl3_19,74.49309297,42.4835651,3128.02
458342.716,4703589.115,3127.857,gl3_20,74.49314506,42.48353354,3127.857
458344.82,4703585.964,3128.7,gl3_21,74.49317089,42.48350528,3128.7
458348.232,4703582.062,3128.272,gl3_22,74.4932127,42.48347033,3128.272
458351.165,4703578.385,3128.583,gl3_23,74.49324864,42.48343737,3128.583
458354.269,4703574.724,3129.787,gl3_24,74.49328668,42.48340456,3129.787
458358.598,4703570.599,3131.181,gl3_25,74.49333965,42.48336765,3131.181
458361.633,4703566.578,3132.158,gl3_26,74.49337686,42.4833316,3132.158
458364.967,4703562.47,3132.95,gl3_27,74.49341773,42.48329478,3132.95
458368.003,4703559.001,3133.773,gl3_28,74.49345492,42.48326371,3133.773
458371.46,4703555.265,3135.248,gl3_29,74.49349724,42.48323026,3135.248
458374.979,4703551.543,3135.522,gl3_30,74.49354034,42.48319692,3135.522
458377.78,4703547.899,3136.276,gl3_31,74.49357468,42.48316426,3136.276
458380.922,4703544.762,3136.911,gl3_32,74.49361313,42.48313618,3136.911
458383.402,4703541.467,3137.083,gl3_33,74.49364354,42.48310664,3137.083
458387.663,4703537.584,3137.77,gl3_34,74.49369567,42.4830719,3137.77
458390.552,4703533.185,3138.153,gl3_35,74.49373114,42.48303244,3138.153
458394.535,4703528.853,3137.645,gl3_36,74.49377991,42.48299364,3137.645
458395.607,4703525.773,3137.506,gl3_37,74.49379318,42.48296596,3137.506
458398.323,4703522.535,3139.296,gl3_38,74.49382646,42.48293695,3139.296
458402.074,4703519.333,3140.287,gl3_39,74.49387233,42.48290831,3140.287
458404.895,4703515.726,3142.498,gl3_40,74.49390692,42.48287598,3142.498
458407.077,4703511.88,3143.867,gl3_41,74.49393374,42.48284146,3143.867
458410.77,4703507.911,3144.039,gl3_42,74.49397896,42.48280591,3144.039
458413.676,4703503.728,3144.789,gl3_43,74.49401462,42.4827684,3144.789
458416.657,4703499.477,3145.756,gl3_44,74.49405119,42.48273028,3145.756
458420.127,4703494.825,3145.957,gl3_45,74.49409375,42.48268857,3145.957
458422.91,4703491.5,3146.047,gl3_46,74.49412786,42.48265878,3146.047
458425.394,4703487.747,3147.762,gl3_47,74.49415835,42.48262511,3147.762
458428.845,4703483.616,3149.985,gl3_48,74.49420063,42.4825881,3149.985
