Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height
457833.342,4703197.405,3207.309,gl2_1,74.48697644,42.47997841,3207.309
457836.364,4703200.918,3205.404,gl2_2,74.48701295,42.4800102,3205.404
457839.957,4703204.786,3203.332,gl2_3,74.48705637,42.48004524,3203.332
457842.486,4703207.897,3200.623,gl2_4,74.48708691,42.48007339,3200.623
457846.769,4703211.363,3199.245,gl2_5,74.48713877,42.48010483,3199.245
457849.127,4703214.666,3198.594,gl2_6,74.48716721,42.48013471,3198.594
457852.531,4703218.688,3196.93,gl2_7,74.48720833,42.48017111,3196.93
457855.349,4703222.991,3196.96,gl2_8,74.4872423,42.48021002,3196.96
457858.63,4703226.193,3196.361,gl2_9,74.48728198,42.48023903,3196.361
457862.456,4703230.401,3195.093,gl2_10,74.48732822,42.48027714,3195.093
457865.354,4703233.569,3195.11,gl2_11,74.48736325,42.48030583,3195.11
457868.027,4703237.568,3192.477,gl2_12,74.48739547,42.48034198,3192.477
457871.091,4703241.118,3191.669,gl2_13,74.48743248,42.48037412,3191.669
457874.168,4703245.135,3191.832,gl2_14,74.48746962,42.48041046,3191.832
457877.679,4703248.217,3191.584,gl2_15,74.48751212,42.48043841,3191.584
457880.263,4703252.997,3189.691,gl2_16,74.4875432,42.4804816,3189.691
457883.315,4703256.382,3190.47,gl2_17,74.48758009,42.48051225,3190.47
457886.644,4703260.419,3188.347,gl2_18,74.48762028,42.48054878,3188.347
457890.245,4703263.638,3186.827,gl2_19,74.48766387,42.48057796,3186.827
457893.414,4703266.783,3187.767,gl2_20,74.48770218,42.48060646,3187.767
457896.261,4703270.807,3188.169,gl2_21,74.48773652,42.48064286,3188.169
457899.152,4703274.081,3188.275,gl2_22,74.48777146,42.48067249,3188.275
457902.13,4703278.318,3188.637,gl2_23,74.48780738,42.48071081,3188.637
457905.191,4703282.104,3187.55,gl2_24,74.48784434,42.48074508,3187.55
457909.223,4703286.236,3187.167,gl2_25,74.48789309,42.48078251,3187.167
457911.919,4703290.488,3186.613,gl2_26,74.48792558,42.48082095,3186.613
457914.663,4703294.986,3185.816,gl2_27,74.48795863,42.4808616,3185.816
457916.37,4703298.697,3184.268,gl2_28,74.48797912,42.48089511,3184.268
457920.203,4703301.94,3181.521,gl2_29,74.48802552,42.48092452,3181.521
457923.038,4703304.938,3183.811,gl2_30,74.4880598,42.48095168,3183.811
457925.398,4703307.238,3184.418,gl2_31,74.48808834,42.48097252,3184.418
457928.879,4703311.119,3183.796,gl2_32,74.48813041,42.48100766,3183.796
457932.024,4703314.788,3182.575,gl2_33,74.4881684,42.48104087,3182.575
457934.829,4703319.019,3181.139,gl2_34,74.48820222,42.48107913,3181.139
457937.809,4703322.749,3179.237,gl2_35,74.4882382,42.48111288,3179.237
457941.719,4703326.635,3178.755,gl2_36,74.48828548,42.48114809,3178.755
457944.776,4703330.068,3177.532,gl2_37,74.48832243,42.48117917,3177.532
457948.161,4703333.546,3177.692,gl2_38,74.48836335,42.48121068,3177.692
457951.192,4703336.871,3176.647,gl2_39,74.48839998,42.48124078,3176.647
457954.995,4703340.586,3175.629,gl2_40,74.48844598,42.48127444,3175.629
457958.326,4703344.076,3175.36,gl2_41,74.48848625,42.48130605,3175.36
457960.759,4703347.722,3176.014,gl2_42,74.48851559,42.48133902,3176.014
457964.502,4703351.131,3176.205,gl2_43,74.48856088,42.48136993,3176.205
457967.369,4703354.894,3174.649,gl2_44,74.48859548,42.48140397,3174.649
457970.365,4703359.061,3173.838,gl2_45,74.48863162,42.48144166,3173.838
457972.885,4703362.662,3170.594,gl2_46,74.48866202,42.48147423,3170.594
457975.502,4703366.266,3168.973,gl2_47,74.4886936,42.48150682,3168.973
457978.592,4703369.71,3167.485,gl2_48,74.48873093,42.481538,3167.485
